unit,citizen,sex,age,decision,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
PER,EXT_EU27_2020,T,TOTAL,HUMSTAT,EU28	2090 	2225 	3215 	5870 	6255 	4480 	4795 	3650 	10700 	14580 	36075 d	12585 d
PER,EXT_EU27_2020,T,TOTAL,HUMSTAT,FI	20 	10 	30 	40 	45 	50 	30 	15 	60 	95 	220 	: 
PER,EXT_EU27_2020,T,TOTAL,HUMSTAT,HR	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,HUMSTAT,HU	0 	0 	0 	5 	5 	0 	5 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,HUMSTAT,IE	: 	: 	: 	: 	: 	: 	: 	: 	: 	0 	40 	: 
PER,EXT_EU27_2020,T,TOTAL,HUMSTAT,IS	0 	5 	: 	0 	0 	0 	0 	15 	10 	50 	40 	: 
PER,EXT_EU27_2020,T,TOTAL,HUMSTAT,IT	: 	: 	200 	260 	470 	5 	5 	5 	2020 	500 	12025 	7900 
PER,EXT_EU27_2020,T,TOTAL,HUMSTAT,LI	0 	0 	0 	0 	0 	0 	0 	5 	0 	0 	0 	0 
PER,EXT_EU27_2020,T,TOTAL,HUMSTAT,LT	: 	: 	: 	: 	: 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,HUMSTAT,LU	0 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PER,EXT_EU27_2020,T,TOTAL,HUMSTAT,MT	0 	0 	0 	0 	5 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,HUMSTAT,NL	175 	85 	195 	290 	55 	190 	100 	85 	100 	115 	150 	120 
PER,EXT_EU27_2020,T,TOTAL,HUMSTAT,NO	575 	305 	170 	335 	365 	485 	610 	595 	225 	275 	140 	105 
PER,EXT_EU27_2020,T,TOTAL,HUMSTAT,PL	20 	15 	15 	40 	25 	20 	0 	15 	15 	20 	15 	0 
PER,EXT_EU27_2020,T,TOTAL,HUMSTAT,RO	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,HUMSTAT,SE	215 	530 	255 	640 	715 	705 	830 	1175 	875 	1240 	6115 	3520 
PER,EXT_EU27_2020,T,TOTAL,HUMSTAT,SI	: 	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
PER,EXT_EU27_2020,T,TOTAL,HUMSTAT,SK	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,HUMSTAT,UK	610 	775 	1405 	3060 	2845 	1065 	1265 	485 	595 	550 	780 	950 
PER,EXT_EU27_2020,T,TOTAL,REJECTED,AT	7050 	10065 	9105 	7540 	6415 	5435 	1210 	2390 	2100 	3030 	4810 	: 
