unit,citizen,sex,age,decision,geo\time	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,NO	4445 	8480 	10085 	8650 	8120 	10430 	8430 	4830 	4965 	4730 	2130 	1120 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,PL	185 	100 	110 	2270 	970 	1050 	1380 	1875 	1285 	1770 	1495 	10 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,PT	0 	0 	20 	20 	65 	100 	95 	85 	185 	0 	465 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,RO	235 	670 	530 	1290 	2220 	1550 	170 	110 	115 	185 	245 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,SE	11065 	15395 	12830 	13195 	15950 	12955 	13130 	9680 	12130 	18915 	24980 	19400 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,SI	100 	70 	15 	70 	35 	60 	70 	35 	35 	40 	85 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,SK	70 	35 	170 	5 	70 	115 	60 	25 	20 	10 	25 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL,UK	13955 	17585 	21975 	17665 	15190 	13685 	12310 	12430 	13740 	12470 	12160 	15605 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,AT	2195 	1775 	1435 	1780 	1540 	1425 	2860 	2705 	1380 	3925 	5680 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,BE	395 	280 	280 	470 	325 	430 	470 	425 	350 	310 	570 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,BG	10 	10 	20 	15 	25 	40 	20 	5 	15 	10 	20 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,CH	730 	640 	435 	350 	300 	215 	165 	135 	145 	175 	320 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,CY	35 	80 	110 	65 	45 	90 	225 	285 	120 	55 	15 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,CZ	45 	25 	50 	385 	25 	20 	35 	0 	10 	0 	10 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,DE	2775 	2295 	2465 	3370 	5025 	5955 	6995 	7305 	11305 	63750 	63615 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,DK	165 	130 	285 	420 	410 	550 	290 	285 	280 	385 	335 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,EE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,EL	360 	40 	40 	410 	530 	910 	1880 	1845 	5830 	1560 	595 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,ES	30 	30 	15 	20 	40 	20 	15 	10 	20 	30 	70 	105 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,EU27_2020	14060 	12880 	12605 	17445 	19080 	19720 	22140 	21705 	35485 	88225 	108895 	19460 d
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,EU28	19085 	20040 	20235 	24695 	25985 	24675 	26195 	26400 	42630 	95310 	117935 	30410 d
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,FI	80 	50 	70 	275 	280 	180 	165 	115 	295 	825 	1420 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,FR	6315 	5365 	5280 	6125 	5680 	5450 	5825 	5385 	6415 	8005 	8715 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,HR	: 	: 	: 	: 	35 	0 	0 	0 	0 	20 	20 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,HU	0 	10 	25 	50 	110 	60 	40 	40 	5 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,IE	285 	260 	130 	75 	45 	55 	95 	225 	305 	80 	270 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,IS	0 	5 	0 	0 	0 	5 	5 	35 	20 	105 	90 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,IT	0 	45 	275 	325 	790 	75 	45 	20 	4770 	3335 	17215 	12635 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,LI	0 	0 	0 	15 	20 	0 	0 	5 	0 	0 	0 	0 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,LT	0 	5 	0 	0 	0 	5 	5 	0 	0 	5 	5 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,LU	55 	30 	35 	50 	5 	10 	10 	25 	5 	5 	5 	0 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,LV	0 	5 	0 	10 	5 	10 	0 	10 	15 	5 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,MT	0 	0 	0 	0 	20 	0 	35 	70 	65 	50 	15 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,NL	415 	255 	675 	1555 	885 	1075 	700 	595 	1015 	1280 	1175 	1000 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,NO	660 	430 	410 	710 	945 	1005 	960 	900 	415 	500 	280 	210 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,PL	30 	95 	50 	100 	70 	50 	20 	55 	85 	50 	60 	10 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,PT	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,RO	45 	95 	110 	110 	275 	925 	35 	45 	15 	85 	70 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,SE	815 	1990 	1250 	1820 	2890 	2380 	2375 	2245 	3175 	4460 	9015 	5710 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,SI	0 	0 	0 	0 	0 	0 	0 	5 	5 	0 	0 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,SK	10 	15 	5 	5 	10 	5 	5 	0 	5 	0 	5 	: 
PER,EXT_EU27_2020,T,TOTAL,TOTAL_POS,UK	5025 	7160 	7630 	7250 	6905 	4955 	4055 	4695 	7145 	7085 	9040 	10950 
